Date,index50,index300
2015/9/2,2243.631,3365.832
2015/9/7,2133.978,3250.485
2015/9/8,2180.131,3334.023
2015/9/9,2211.2,3399.305
2015/9/10,2208.481,3357.561
2015/9/11,2195.391,3347.188
2015/9/14,2228.154,3281.132
2015/9/15,2175.173,3152.232
2015/9/16,2241.949,3309.248
2015/9/17,2194.823,3236.999
2015/9/18,2198.99,3251.273
2015/9/21,2214.448,3308.247
2015/9/22,2237.314,3339.03
2015/9/23,2178.546,3263.028
2015/9/24,2188.088,3284.999
2015/9/25,2183.404,3231.951
2015/9/28,2169.941,3242.752
2015/9/29,2127.203,3178.854
2015/9/30,2146.118,3202.948
2015/10/8,2191.343,3296.482
2015/10/9,2219.294,3340.116
2015/10/12,2283.429,3447.693
2015/10/13,2270.948,3445.043
2015/10/14,2253.908,3406.112
2015/10/15,2297.901,3486.815
2015/10/16,2323.775,3534.065
2015/10/19,2318.472,3534.182
2015/10/20,2337.08,3577.703
2015/10/21,2340.36,3473.254
2015/10/22,2331.791,3524.534
2015/10/23,2343.965,3571.241
2015/10/26,2350.02,3589.261
2015/10/27,2349.904,3592.879
2015/10/28,2310.703,3524.92
2015/10/29,2307.345,3533.307
2015/10/30,2312.974,3534.079
2015/11/2,2280.092,3475.962
2015/11/3,2271.653,3465.493
2015/11/4,2370.503,3628.538
2015/11/5,2440.651,3705.97
2015/11/6,2493.484,3793.374
2015/11/9,2534.084,3840.355
2015/11/10,2522.683,3833.238
2015/11/11,2505.83,3833.646
2015/11/12,2476.429,3795.324
2015/11/13,2447.773,3746.242
2015/11/16,2447.293,3764.126
2015/11/17,2453.257,3758.387
2015/11/18,2439.447,3715.58
2015/11/19,2468.488,3774.969
2015/11/20,2466.757,3774.383
2015/11/23,2456.84,3753.335
2015/11/24,2447.904,3753.889
2015/11/25,2459.563,3781.607
2015/11/26,2450.962,3759.429
2015/11/27,2334.44,3556.992
2015/11/30,2336.29,3566.412
2015/12/1,2344.833,3591.696
2015/12/2,2458.411,3721.955
2015/12/3,2461.449,3749.299
2015/12/4,2397.562,3677.592
2015/12/7,2395.584,3687.607
2015/12/8,2364.344,3623.02
2015/12/9,2369.738,3635.938
2015/12/10,2357.209,3623.084
2015/12/11,2342.453,3608.059
2015/12/14,2414.917,3711.322
2015/12/15,2383.832,3694.389
2015/12/16,2376.535,3685.44
2015/12/17,2408.321,3755.888
2015/12/18,2422.835,3767.913
2015/12/21,2500.064,3865.965
2015/12/22,2496.054,3876.733
2015/12/23,2503.059,3866.381
2015/12/24,2481.754,3829.402
2015/12/25,2492.336,3838.201
2015/12/28,2411.408,3727.632
2015/12/29,2432.88,3761.875
2015/12/30,2432.773,3765.175
2015/12/31,2420.801,3731.005
